,filename,imageID,xy_pix_size,z_pix_size,PinholeSize,ch_size,channels
347,2017Jan13_Top1_002927_20x_ventral.czi,226532,1.037832280124744,5.0,0,3,"['405.00000000000006', '561.0', '488.00000000000006', 0, 'ChS1-T1', 'ChS3-T2', 'ChS2-T3', 0]"
348,2017Jan19_smd3_100043.mvd2 [2017Jan19_smd3_100043_YFP_syp_dlg_lobe_20x],240658,0.41839539265530395,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
349,2017Jan19_smd3_100043.mvd2 [2017Jan19_smd3_100043_YFP_syp_dlg_CB_dorsal_60x],240659,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
350,2017Jan19_smd3_100043.mvd2 [2017Jan19_smd3_100043_YFP_syp_dlg_OL_dorsal_60x],240660,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
351,2017Jan19_smd3_100043.mvd2 [2017Jan19_smd3_100043_YFP_syp_dlg_anlagen_dorsal_60x],240661,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
352,2017Jan19_smd3_100043.mvd2 [2017Jan19_smd3_100043_YFP_syp_dlg_VNC_dorsal_60x],240662,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
353,2017Jan19_smd3_100043.mvd2 [2017Jan19_smd3_100043_YFP_syp_dlg_CB_ventral_60x],240663,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
354,2017Jan19_smd3_100043.mvd2 [2017Jan19_smd3_100043_YFP_syp_dlg_OL_ventral_60x],240664,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
355,2017Jan19_smd3_100043.mvd2 [2017Jan19_smd3_100043_YFP_syp_dlg_VNC_ventral_60x],240665,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
356,2017Jan19_sqd_000239.mvd2 [2017Jan19_sqd_000239_YFP_syp_dlg_20x_upsidedown],240666,0.41839539265530395,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
357,2017Jan19_sqd_000239.mvd2 [2017Jan19_sqd_000239_YFP_syp_dlg_CB_ventral_60x_upsidedown],240667,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
358,2017Jan19_sqd_000239.mvd2 [2017Jan19_sqd_000239_YFP_syp_dlg_OL_ventral_60x_upsidedown],240668,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
