filename,ch1,ch2,ch3,ch4
382793.ome.tiff,405.00000000000006,561.0,488.00000000000006,0
390478.ome.tiff,0,0,0,0
390479.ome.tiff,0,0,0,0
390480.ome.tiff,0,0,0,0
390483.ome.tiff,0,0,0,0
390484.ome.tiff,0,0,0,0
390486.ome.tiff,0,0,0,0
390487.ome.tiff,0,0,0,0
390989.ome.tiff,0,0,0,0
390990.ome.tiff,0,0,0,0
390991.ome.tiff,0,0,0,0
390992.ome.tiff,0,0,0,0
390994.ome.tiff,0,0,0,0
390995.ome.tiff,0,0,0,0
390996.ome.tiff,0,0,0,0
390997.ome.tiff,0,0,0,0
390998.ome.tiff,0,0,0,0
392276.ome.tiff,0,0,0,0
392278.ome.tiff,0,0,0,0
392280.ome.tiff,0,0,0,0
392281.ome.tiff,0,0,0,0
392282.ome.tiff,0,0,0,0
392283.ome.tiff,0,0,0,0
400669.ome.tiff,0,0,0,0
400670.ome.tiff,0,0,0,0
400671.ome.tiff,0,0,0,0
400672.ome.tiff,0,0,0,0
400673.ome.tiff,0,0,0,0
400674.ome.tiff,0,0,0,0
400675.ome.tiff,0,0,0,0
400676.ome.tiff,0,0,0,0
400677.ome.tiff,0,0,0,0
400678.ome.tiff,0,0,0,0
402006.ome.tiff,0,0,0,0
402008.ome.tiff,0,0,0,0
402009.ome.tiff,0,0,0,0
402010.ome.tiff,0,0,0,0
402011.ome.tiff,0,0,0,0
402015.ome.tiff,0,0,0,0
402016.ome.tiff,0,0,0,0
403223.ome.tiff,0,0,0,0
403330.ome.tiff,0,0,0,0
403341.ome.tiff,0,0,0,0
404308.ome.tiff,0,0,0,0
404309.ome.tiff,0,0,0,0
404360.ome.tiff,0,0,0,0
404361.ome.tiff,0,0,0,0
404362.ome.tiff,0,0,0,0
404364.ome.tiff,0,0,0,0
404365.ome.tiff,0,0,0,0
404366.ome.tiff,0,0,0,0
404367.ome.tiff,0,0,0,0
404368.ome.tiff,0,0,0,0
404923.ome.tiff,0,0,0,0
405280.ome.tiff,0,0,0,0
405281.ome.tiff,0,0,0,0
405282.ome.tiff,0,0,0,0
405283.ome.tiff,0,0,0,0
406717.ome.tiff,0,0,0,0
406718.ome.tiff,0,0,0,0
406719.ome.tiff,0,0,0,0
406720.ome.tiff,0,0,0,0
406721.ome.tiff,0,0,0,0
406722.ome.tiff,0,0,0,0
406723.ome.tiff,0,0,0,0
406724.ome.tiff,0,0,0,0
406729.ome.tiff,0,0,0,0
406732.ome.tiff,0,0,0,0
406733.ome.tiff,0,0,0,0
406734.ome.tiff,0,0,0,0
406735.ome.tiff,0,0,0,0
406738.ome.tiff,0,0,0,0
406739.ome.tiff,0,0,0,0
406740.ome.tiff,0,0,0,0
406741.ome.tiff,0,0,0,0
406827.ome.tiff,405.00000000000006,561.0,561.0,488.00000000000006
406828.ome.tiff,405.00000000000006,561.0,561.0,488.00000000000006
406830.ome.tiff,405.00000000000006,561.0,561.0,488.00000000000006
406831.ome.tiff,405.00000000000006,561.0,561.0,488.00000000000006
406833.ome.tiff,405.00000000000006,561.0,561.0,488.00000000000006
406834.ome.tiff,405.00000000000006,561.0,561.0,488.00000000000006
406835.ome.tiff,405.00000000000006,561.0,561.0,488.00000000000006
406836.ome.tiff,405.00000000000006,561.0,488.00000000000006,0
406837.ome.tiff,405.00000000000006,561.0,561.0,488.00000000000006
406910.ome.tiff,0,0,0,0
